Bellman Ford with OpenMP results
Dividing Over Nodes
Graph, Thread Count, schedule type, schedule num, Exec Time (nanoseconds)
wiki-example, serial, N/A, N/A, 2743
wiki-example, 1, static, 1, 4441
wiki-example, 1, static, 8, 3860
wiki-example, 1, static, 32, 4220
wiki-example, 1, static, 128, 4406
wiki-example, 1, static, 512, 4203
wiki-example, 1, dynamic, 1, 3757
wiki-example, 1, dynamic, 8, 4203
wiki-example, 1, dynamic, 32, 3885
wiki-example, 1, dynamic, 128, 4043
wiki-example, 1, dynamic, 512, 4291
wiki-example, 2, static, 1, 2722
wiki-example, 2, static, 8, 5577
wiki-example, 2, static, 32, 2832
wiki-example, 2, static, 128, 2706
wiki-example, 2, static, 512, 2611
wiki-example, 2, dynamic, 1, 2780
wiki-example, 2, dynamic, 8, 2469
wiki-example, 2, dynamic, 32, 2596
wiki-example, 2, dynamic, 128, 2661
wiki-example, 2, dynamic, 512, 2609
wiki-example, 4, static, 1, 1376
wiki-example, 4, static, 8, 1990
wiki-example, 4, static, 32, 1732
wiki-example, 4, static, 128, 1802
wiki-example, 4, static, 512, 1751
wiki-example, 4, dynamic, 1, 1859
wiki-example, 4, dynamic, 8, 1940
wiki-example, 4, dynamic, 32, 1594
wiki-example, 4, dynamic, 128, 1238
wiki-example, 4, dynamic, 512, 1759
wiki-example, 8, static, 1, 1284
wiki-example, 8, static, 8, 1667
wiki-example, 8, static, 32, 1034
wiki-example, 8, static, 128, 1474
wiki-example, 8, static, 512, 1165
wiki-example, 8, dynamic, 1, 1072
wiki-example, 8, dynamic, 8, 1365
wiki-example, 8, dynamic, 32, 1476
wiki-example, 8, dynamic, 128, 1468
wiki-example, 8, dynamic, 512, 1089
rmat15, serial, N/A, N/A, 6925912
rmat15, 1, static, 1, 13177742
rmat15, 1, static, 8, 12935395
rmat15, 1, static, 32, 14983542
rmat15, 1, static, 128, 13608151
rmat15, 1, static, 512, 13756549
rmat15, 1, dynamic, 1, 15106701
rmat15, 1, dynamic, 8, 12143125
rmat15, 1, dynamic, 32, 13667242
rmat15, 1, dynamic, 128, 13660852
rmat15, 1, dynamic, 512, 12809210
rmat15, 2, static, 1, 12419186
rmat15, 2, static, 8, 25132941
rmat15, 2, static, 32, 17391854
rmat15, 2, static, 128, 19121685
rmat15, 2, static, 512, 14615732
rmat15, 2, dynamic, 1, 14143320
rmat15, 2, dynamic, 8, 26825858
rmat15, 2, dynamic, 32, 16503773
rmat15, 2, dynamic, 128, 16761933
rmat15, 2, dynamic, 512, 14955795
rmat15, 4, static, 1, 25300947
rmat15, 4, static, 8, 15774560
rmat15, 4, static, 32, 14924708
rmat15, 4, static, 128, 14110816
rmat15, 4, static, 512, 16273561
rmat15, 4, dynamic, 1, 15911546
rmat15, 4, dynamic, 8, 16431654
rmat15, 4, dynamic, 32, 18455986
rmat15, 4, dynamic, 128, 12399242
rmat15, 4, dynamic, 512, 28907060
rmat15, 8, static, 1, 21522953
rmat15, 8, static, 8, 11254654
rmat15, 8, static, 32, 26243912
rmat15, 8, static, 128, 24311292
rmat15, 8, static, 512, 35549635
rmat15, 8, dynamic, 1, 14973592
rmat15, 8, dynamic, 8, 20070665
rmat15, 8, dynamic, 32, 8804947
rmat15, 8, dynamic, 128, 17067248
rmat15, 8, dynamic, 512, 17694351
rmat22, serial, N/A, N/A, 1991167282
rmat22, 1, static, 1, 2580652284
rmat22, 1, static, 8, 2493150001
rmat22, 1, static, 32, 2498890585
